GRU_train_acc,LSTM_train_acc,FFN_train_acc,CNN_1D_train_acc,GRU_val_acc,LSTM_val_acc,FFN_val_acc,CNN_1D_val_acc
0.23117465,0.22231889,0.21668631,0.23737326,0.2835708,0.26392794,0.24659738,0.3274832
0.35884848,0.35745955,0.26455903,0.35287973,0.37435877,0.3623662,0.2771327,0.46756148
0.4816986,0.5068889,0.3310933,0.47881556,0.44542253,0.46149242,0.3064233,0.57866657
0.5861929,0.6405107,0.35706216,0.5908203,0.5116254,0.52463984,0.32827085,0.6803529
0.66248,0.7221489,0.4005426,0.67487806,0.5686277,0.5786456,0.35713792,0.7339999
0.74408925,0.78066415,0.44458717,0.74438,0.60948324,0.62446153,0.3764155,0.77417004
0.8016019,0.8431239,0.45947686,0.7842131,0.64777386,0.6594723,0.38972288,0.81054276
0.83733827,0.8830807,0.5035201,0.81430984,0.68080455,0.6959299,0.406346,0.82993245
0.88342214,0.9156756,0.5351002,0.84747493,0.7040848,0.7236106,0.41831893,0.8435758
0.9019983,0.9422956,0.56023777,0.86809105,0.7258246,0.7511772,0.4310322,0.8502728
0.927902,0.9580238,0.5821146,0.888656,0.74543154,0.774117,0.43958935,0.86662847
0.9420901,0.96218956,0.60895276,0.8888841,0.7637309,0.7903726,0.45337394,0.87223375
0.95097554,0.9754776,0.6343111,0.91316754,0.77846414,0.8020053,0.46667248,0.87650293
0.9662927,0.98071647,0.6566295,0.92676663,0.7911812,0.81854,0.47795433,0.8861357
0.9755177,0.9885828,0.6722223,0.92450505,0.7997434,0.8306687,0.4885243,0.8857763
0.9822915,0.9929156,0.6929308,0.9375026,0.8105632,0.8393237,0.501092,0.8950448
0.9850608,0.9950011,0.7160213,0.93351567,0.8186484,0.8481171,0.51498204,0.89066297
0.98616225,0.99538803,0.7364548,0.9430604,0.8252959,0.85513574,0.52434814,0.8993379
0.9889848,0.9974998,0.7562493,0.9591687,0.8332585,0.8594174,0.53457296,0.8996871
0.98969,0.9978932,0.77820545,0.94960105,0.8384971,0.8653618,0.543128,0.9017381
0.99290967,0.99822944,0.7809972,0.953095,0.84395635,0.86929595,0.5528646,0.9035005
0.99078476,0.9996474,0.8129634,0.96833056,0.84621495,0.87072295,0.561038,0.9023229
0.9947126,0.9989317,0.81199557,0.96548164,0.85002065,0.87381804,0.56827056,0.9125655
0.9950412,0.9996474,0.8388887,0.9676733,0.85382354,0.8759614,0.57717425,0.9052963
0.994341,0.9996474,0.8380848,0.96833926,0.85643905,0.87881446,0.58369863,0.9080194
0.9968114,1.0,0.85304713,0.9690816,0.85905194,0.8802345,0.5903446,0.9133801
0.9975246,1.0,0.8583386,0.96870553,0.86095697,0.8826184,0.59520763,0.9149401
0.9982319,1.0,0.88242084,0.97616607,0.863691,0.8828558,0.6011464,0.9100348
0.99822146,1.0,0.88777643,0.97940964,0.86749387,0.88451564,0.6088696,0.9174364
0.99928975,1.0,0.8974405,0.97614783,0.86951125,0.8853457,0.61597997,0.9158616
