soft_train_acc,hard_train_acc,soft_val_acc,hard_val_acc
0.23253526,0.22468477,0.31842193,0.30012107
0.35279572,0.35446835,0.48299456,0.43376827
0.4715037,0.47692072,0.59749633,0.52874
0.5850394,0.5976657,0.6725618,0.60783035
0.68178517,0.683319,0.73695064,0.6577875
0.7387452,0.74742484,0.7698078,0.6781021
0.7862672,0.79084826,0.7989966,0.71388805
0.835747,0.8175138,0.82455266,0.7289281
0.86202234,0.8434334,0.83852595,0.73857754
0.87642425,0.8594175,0.85364014,0.77074087
0.89068675,0.90029585,0.85595655,0.7744678
0.90268165,0.9026611,0.8779486,0.7987337
0.91101825,0.91769093,0.87736416,0.8017231
0.92331874,0.9269187,0.8840128,0.80679005
0.93218684,0.9345941,0.88997054,0.8109719
0.9506248,0.94103986,0.8954009,0.8185729
0.9472798,0.9506117,0.89837265,0.8246369
0.95484746,0.95797193,0.90436935,0.82394016
0.9576946,0.9528879,0.9019234,0.83896035
0.95762146,0.96229196,0.90958315,0.83429694
0.95836705,0.96606886,0.90540344,0.84323823
0.9626635,0.97186184,0.91765183,0.8415523
0.965464,0.97712934,0.9095515,0.8397049
0.9690829,0.9728621,0.9151552,0.84273463
0.97302455,0.97789365,0.9201377,0.84549975
0.96940815,0.97469383,0.92086965,0.8477955
0.98080456,0.97870094,0.92060155,0.85166925
0.9743737,0.9846678,0.9197975,0.84749746
0.9754962,0.98073894,0.9259674,0.8483087
0.98402625,0.9842957,0.92752415,0.85217
