timestamp,event,roll,pitch,yaw
0.6302772 ,Right ,60.3609190124034 ,52.4687659128104 ,50.3001445175376
0.6830543 ,Right ,60.9255823392571 ,52.8381583413059 ,49.2208123068861
0.7233886 ,Right ,60.8972402524398 ,52.9507486311909 ,49.0697347333333
0.7424322 ,Right ,60.9670764749378 ,52.9172540025838 ,49.0884871844891
0.7806043 ,Right ,61.0439093008472 ,52.8525388411914 ,49.1939943833032
0.8028993 ,Right ,61.1172597498117 ,52.745697418816 ,49.26509896607
0.8401928 ,Right ,61.4248366177347 ,52.5921680344354 ,49.4799090673963
0.8622647 ,Right ,61.2973092679745 ,52.530869928605 ,49.5952701569565
0.8999482 ,Right ,61.2706162931872 ,52.4202008438638 ,49.706120526929
0.922473 ,Right ,61.4273747028383 ,52.4228923915489 ,49.747760472187
0.9598568 ,Right ,61.4366309467378 ,52.4656826275659 ,49.9393366711553
0.9824765 ,Right ,61.2591480737588 ,52.4578786959286 ,49.9851024444844
1.0199126 ,Right ,61.3743904234815 ,52.5462736576744 ,50.0415562609322
1.0427282 ,Right ,61.4690414624543 ,52.6097432959184 ,50.0793685142631
1.0799534 ,Right ,61.3601134590916 ,52.6230182069912 ,50.1190438227293
1.1023699 ,Right ,61.3154739917062 ,52.6029147150665 ,50.1140222147873
1.1400041 ,Right ,61.2621879755339 ,52.5698346010004 ,50.10978543135
1.177425 ,Right ,61.2445767315632 ,52.6365036711322 ,50.124730201762
1.1999835 ,Right ,61.2802058419043 ,52.6638093731565 ,50.1605856438591
1.2374997 ,Right ,61.3359076910867 ,52.7121260275764 ,50.1855014849522
1.2599673 ,Right ,61.2658954689492 ,52.6696430149784 ,50.1886217792962
1.2972871 ,Right ,61.1424075482577 ,52.5937761629555 ,50.1834078895045
1.3198635 ,Right ,61.1420777191905 ,52.5900891154479 ,50.1820566719156
1.3577833 ,Right ,61.0703388634032 ,52.5932376736636 ,50.2144924930161
1.3800468 ,Right ,61.0057873815612 ,52.5979936916823 ,50.2087105787989
1.4023767 ,Right ,60.9955744916137 ,52.6248893913034 ,50.1967773356204
1.4400682 ,Right ,61.0097447094219 ,52.7049949103921 ,50.1648573850754
1.4624772 ,Right ,60.9464422622444 ,52.7468973595077 ,50.1535431832625
1.4774034 ,Right ,60.8665243709226 ,52.762726524311 ,50.1377665628653
1.4925863 ,Right ,60.8423614594997 ,52.7775808467711 ,50.1118203497485
1.5161783 ,Right ,60.8474681628098 ,52.8052373142424 ,50.0868604030727
1.5374796 ,Right ,60.8429218679996 ,52.8429815842045 ,50.0730838819038
1.5526257 ,Right ,60.8138724209074 ,52.8850475366945 ,50.0748702503547
1.5779756 ,Right ,60.7671895046278 ,52.9082700179651 ,50.0809842252678
1.5996996 ,Right ,60.7581700061908 ,52.9263494085959 ,50.0821872206804
1.6125406 ,Right ,60.7751792201807 ,52.9485829196115 ,50.0792053146823
1.6350738 ,Right ,60.7755632331937 ,52.9683852382641 ,50.0758752704912
1.6574542 ,Right ,60.7502336311444 ,52.9801249494837 ,50.0694425165094
1.6726994 ,Right ,60.7018191352112 ,52.9821635365125 ,50.0593663011754
1.6951222 ,Right ,60.6803064184129 ,52.9840593908427 ,50.0518595594938
1.7176493 ,Right ,60.6713559194008 ,52.9966209319035 ,50.0388215415513
1.7326165 ,Right ,60.6495990625403 ,53.0157475709563 ,50.0413175999258
1.7550724 ,Right ,60.636277871921 ,53.0383753095059 ,50.0643615532575
1.7774736 ,Right ,60.6190684563023 ,53.0690092663979 ,50.0877561360694
1.7925062 ,Right ,60.6200443939167 ,53.1057560983248 ,50.1068584463779
1.8152751 ,Right ,60.6385271001 ,53.1577626201011 ,50.1310263958729
1.837546 ,Right ,60.6650582175189 ,53.2271550758021 ,50.1599080919979
1.8524734 ,Right ,60.6808946265275 ,53.3118867143168 ,50.1973041277946
1.8749881 ,Right ,60.6940424746981 ,53.4086399632 ,50.2594281015451
1.897515 ,Right ,60.7022660693263 ,53.4971963010351 ,50.332775699545
1.9125277 ,Right ,60.7103510089183 ,53.5751530770296 ,50.4066951798614
1.9350875 ,Right ,60.7140594397411 ,53.6251365923329 ,50.466014699785
1.9577518 ,Right ,60.7449182232758 ,53.6698604223507 ,50.5123994751333
1.9724986 ,Right ,60.7840927805275 ,53.7228100272183 ,50.5711861579066
1.9950134 ,Right ,60.7932523743741 ,53.7681132413884 ,50.5904986993805
2.0176058 ,Right ,60.7998192767675 ,53.7755963192556 ,50.5876621987283
2.0326533 ,Right ,60.8640100567144 ,53.7516537478912 ,50.583090645581
2.0551269 ,Right ,60.9403683434526 ,53.7822596118648 ,50.5785921029649
2.0775341 ,Right ,60.8464123008795 ,53.9352386954322 ,50.5507835993428
2.1000107 ,Right ,60.7030382089531 ,53.9839013010671 ,50.543054569103
2.1152645 ,Right ,60.5791572994635 ,53.9319911252653 ,50.4735032092974
2.1376962 ,Right ,60.6127444021449 ,53.8392073535142 ,50.4207178297073
2.1600387 ,Right ,60.7049707467129 ,53.7415559007415 ,50.4229095199512
2.1751495 ,Right ,60.6906974038499 ,53.6388265095858 ,50.4369420620983
2.1987091 ,Right ,60.6213714513749 ,53.5250546828487 ,50.4614238103734
2.2199716 ,Right ,60.5768253644414 ,53.4291733394273 ,50.4602687020499
2.2351077 ,Right ,60.6028351755534 ,53.3705863639842 ,50.4636182950533
2.2576296 ,Right ,60.6261213411092 ,53.3256231495616 ,50.4876846384847
2.2800169 ,Right ,60.5304942593192 ,53.250398309383 ,50.4965682553844
2.2951177 ,Right ,60.4464307076373 ,53.1872195835113 ,50.5319096842432
2.3175885 ,Right ,60.4867267715775 ,53.1404338250289 ,50.6046838847962
