timestamp,event,roll,pitch,yaw
5.7810908 ,Left ,49.2817902910007 ,49.2087170594984 ,65.3236447156022
5.803647 ,Left ,49.2609920555422 ,49.2019244136907 ,65.3160340090902
5.8262586 ,Left ,49.2340463642319 ,49.2006240920107 ,65.314830349143
5.8411304 ,Left ,49.231418821984 ,49.1997989216304 ,65.3149850110737
5.8635959 ,Left ,49.2451807100034 ,49.1970570846329 ,65.3188977079423
5.8860962 ,Left ,49.2639139692492 ,49.1873660135714 ,65.3273059573492
5.9011535 ,Left ,49.2645067159851 ,49.1849399039214 ,65.3362028377327
5.9235169 ,Left ,49.2538730550436 ,49.1862576258848 ,65.3449280047076
5.9461366 ,Left ,49.2491413054729 ,49.1822074355998 ,65.3566014182751
5.9610435 ,Left ,49.2523334575876 ,49.1762418246288 ,65.3630863743268
5.9836879 ,Left ,49.2643234582068 ,49.1699486099787 ,65.3652871245107
6.0061483 ,Left ,49.2763288339731 ,49.163719386955 ,65.3669750619745
6.0211323 ,Left ,49.2918792417034 ,49.155524545307 ,65.364688122569
6.0437129 ,Left ,49.3142708159395 ,49.1545864442128 ,65.3397298957362
6.0662283 ,Left ,49.3359409052562 ,49.1518567907879 ,65.3080427388028
6.0885208 ,Left ,49.3478589083897 ,49.1563951954924 ,65.2882782552672
6.1112272 ,Left ,49.3559599135395 ,49.1675604791829 ,65.2850054372043
6.1333107 ,Left ,49.3483353809719 ,49.1824779169611 ,65.287167476675
6.1485427 ,Left ,49.3282924069495 ,49.199587701413 ,65.3005181702972
6.1648021 ,Left ,49.3264376436782 ,49.2138717611576 ,65.3151673466515
6.1861109 ,Left ,49.3445468322154 ,49.2198346425723 ,65.3254404037829
6.2010549 ,Left ,49.3426932145808 ,49.2252561689806 ,65.3341126679887
6.223742 ,Left ,49.3207693679795 ,49.2302428585747 ,65.3455854030991
6.2461043 ,Left ,49.3216742149787 ,49.2319656968761 ,65.3454768951932
6.2611837 ,Left ,49.3241951173365 ,49.2195831886873 ,65.3395228511279
6.2835179 ,Left ,49.33289545648 ,49.2018372666594 ,65.3261560692421
6.30613 ,Left ,49.3372657006835 ,49.1884694104857 ,65.3157644564525
6.3212068 ,Left ,49.3287704923515 ,49.1840777654501 ,65.3050411257112
6.343481 ,Left ,49.3220195036655 ,49.1831430768804 ,65.2965610930494
6.3670938 ,Left ,49.3230383650541 ,49.1759156493022 ,65.2860693706908
6.3886321 ,Left ,49.3178573391491 ,49.1653840482991 ,65.2779384335722
6.4035402 ,Left ,49.2837004567735 ,49.150254753917 ,65.2776575895981
6.4260779 ,Left ,49.2583226697685 ,49.1393327430384 ,65.2768472440716
6.4486945 ,Left ,49.2476720498558 ,49.1273924523479 ,65.2773763544729
6.4635347 ,Left ,49.2419214082001 ,49.1085335199515 ,65.2848700298346
6.4859441 ,Left ,49.2354036134171 ,49.0789648284641 ,65.2821745269446
6.5086815 ,Left ,49.2108593259484 ,49.0521643452869 ,65.2734193217349
6.5235307 ,Left ,49.1425865388249 ,49.0218486365188 ,65.2710897655428
6.5462363 ,Left ,49.1166428726057 ,48.9761816409852 ,65.269483226573
6.568595 ,Left ,49.1424631736165 ,48.9318519139838 ,65.2553106605664
6.5835897 ,Left ,49.0445750972042 ,48.8998959949918 ,65.3032663445476
6.6061187 ,Left ,48.8932415750388 ,48.8828330960472 ,65.3423991029931
6.6285378 ,Left ,48.8733254722634 ,48.8821555223488 ,65.3393019038576
6.6436665 ,Left ,48.9115631438877 ,48.8879267211964 ,65.2949001539501
6.6662222 ,Left ,48.9858385643578 ,48.8705859344468 ,65.2527535073114
6.6886819 ,Left ,49.0254286589995 ,48.8274594889601 ,65.1982270267732
6.7036671 ,Left ,48.975288864569 ,48.7892473181531 ,65.1524777171215
6.7262477 ,Left ,48.8665475510202 ,48.7665627053362 ,65.1664225398893
6.7486621 ,Left ,48.8651610961387 ,48.7653901054013 ,65.179260606091
6.7637136 ,Left ,48.8758035819537 ,48.7509145599348 ,65.1687861648361
6.786245 ,Left ,48.8429615344491 ,48.7370047957122 ,65.1582989946399
6.8085183 ,Left ,48.8052316225419 ,48.7236007246281 ,65.1613510133018
6.8235149 ,Left ,48.7920932410649 ,48.7105294571122 ,65.1588104263775
6.8462393 ,Left ,48.8235219485865 ,48.6722532950359 ,65.1436587100938
6.868521 ,Left ,48.8143897442192 ,48.6632481287419 ,65.1098645582685
6.8912508 ,Left ,48.7259103250812 ,48.6471887454996 ,65.0984691978495
6.9136944 ,Left ,48.7030800999264 ,48.6325626383882 ,65.0988358826825
6.9359358 ,Left ,48.7650654024326 ,48.6222277170401 ,65.0716107742825
6.9509779 ,Left ,48.7833055897932 ,48.6169363673203 ,65.0511920642351
6.9662684 ,Left ,48.7350538106395 ,48.6132265583443 ,65.0589477541627
6.9885965 ,Left ,48.7620742553928 ,48.6085967793066 ,65.0767142646307
7.003644 ,Left ,48.7646409882942 ,48.6050924955431 ,65.0767812154885
7.0261537 ,Left ,48.7236640394186 ,48.6151523546315 ,65.0810576798568
7.0487113 ,Left ,48.742250877412 ,48.664877458197 ,65.0876932067898
7.0635722 ,Left ,48.7339953569536 ,48.6909246069531 ,65.0844588622054
7.0862435 ,Left ,48.6711884557117 ,48.7400014631039 ,65.0591793948547
7.1088153 ,Left ,48.6594884482982 ,48.7651133380107 ,65.0319262978727
7.1234567 ,Left ,48.706987710978 ,48.7729258372379 ,64.9983463997956
7.1460451 ,Left ,48.7067537972228 ,48.7749776588304 ,64.9826639890514
7.168752 ,Left ,48.6368928441842 ,48.7843511751158 ,64.990861349542
