timestamp,event,roll,pitch,yaw
0.0039058 ,Right ,52.4256381478678 ,51.4901565419141 ,20.1801674890209
0.0227037 ,Right ,52.4211241483555 ,51.4913308851588 ,20.1740539837426
0.0414727 ,Right ,52.4223051939917 ,51.4929011353421 ,20.1740735080076
0.0639289 ,Right ,52.4173349207788 ,51.4966287513817 ,20.1707090310426
0.0851247 ,Right ,52.4082623714486 ,51.5011711540733 ,20.165286760542
0.1013513 ,Right ,52.4003054897057 ,51.5071218312493 ,20.1625328790887
0.1238927 ,Right ,52.3900838210194 ,51.5097053001226 ,20.1628601909356
0.1458886 ,Right ,52.3885116921073 ,51.5108503581228 ,20.1629326193378
0.1614973 ,Right ,52.3885116921073 ,51.5108503581228 ,20.1629326193378
0.1839288 ,Right ,52.3895914039781 ,51.502926712341 ,20.1595325032691
0.2051401 ,Right ,52.3895914039781 ,51.502926712341 ,20.1595325032691
0.2215459 ,Right ,52.3884113915939 ,51.5013557732879 ,20.159513491748
0.2439325 ,Right ,52.3780942554064 ,51.5041614147567 ,20.1567130054632
0.2651661 ,Right ,52.3780942554064 ,51.5041614147567 ,20.1567130054632
0.2817402 ,Right ,52.3792740040065 ,51.5057324991623 ,20.1567318498375
0.30413 ,Right ,52.3792740040065 ,51.5057324991623 ,20.1567318498375
0.3254973 ,Right ,52.3792740040065 ,51.5057324991623 ,20.1567318498375
0.3415207 ,Right ,52.3804538098174 ,51.5073035982847 ,20.1567506940698
0.3641547 ,Right ,52.3804538098174 ,51.5073035982847 ,20.1567506940698
0.3854519 ,Right ,52.3726326998328 ,51.5108196262027 ,20.1502949646295
0.4014631 ,Right ,52.3636929980857 ,51.5129208449265 ,20.1411605024071
0.4239755 ,Right ,52.349346883332 ,51.5139402552377 ,20.1352490808855
0.4451786 ,Right ,52.338930460695 ,51.5169557593603 ,20.1292987540997
0.4630291 ,Right ,52.3286113141539 ,51.5197487974246 ,20.126470087826
0.4839872 ,Right ,52.3270382005486 ,51.5208923758319 ,20.1265364885754
0.5049324 ,Right ,52.3270382005486 ,51.5208923758319 ,20.1265364885754
0.5214067 ,Right ,52.3270382005486 ,51.5208923758319 ,20.1265364885754
0.543962 ,Right ,52.3270382005486 ,51.5208923758319 ,20.1265364885754
0.566519 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.5815422 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.6039911 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.6264171 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.6440541 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.6640032 ,Right ,52.3254650998039 ,51.5220359621155 ,20.1266026637285
0.686443 ,Right ,52.3242873811536 ,51.5204635330065 ,20.1265846374878
0.7007738 ,Right ,52.3242873811536 ,51.5204635330065 ,20.1265846374878
0.7238742 ,Right ,52.3242873811536 ,51.5204635330065 ,20.1265846374878
0.7464138 ,Right ,52.3242873811536 ,51.5204635330065 ,20.1265846374878
0.7608246 ,Right ,52.322714299714 ,51.5216071163358 ,20.1266506229684
0.7839812 ,Right ,52.322714299714 ,51.5216071163358 ,20.1266506229684
0.8063834 ,Right ,52.3274659645837 ,51.5256790517499 ,20.119908246163
0.8208127 ,Right ,52.3198963219329 ,51.5288980029437 ,20.1170236698555
0.8439074 ,Right ,52.3198963219329 ,51.5288980029437 ,20.1170236698555
0.8664458 ,Right ,52.3183229150327 ,51.5300411680142 ,20.1170885642518
0.8808841 ,Right ,52.3195002437004 ,51.5316140455287 ,20.117106445419
0.9037582 ,Right ,52.3195002437004 ,51.5316140455287 ,20.117106445419
0.9264406 ,Right ,52.3144233863148 ,51.5355389782739 ,20.110566392941
0.9408492 ,Right ,52.3144233863148 ,51.5355389782739 ,20.110566392941
0.9639398 ,Right ,52.3144233863148 ,51.5355389782739 ,20.110566392941
0.9863766 ,Right ,52.3144233863148 ,51.5355389782739 ,20.110566392941
1.0007525 ,Right ,52.3144233863148 ,51.5355389782739 ,20.110566392941
1.0239741 ,Right ,52.31284977964 ,51.5366818320236 ,20.1106302712302
1.0464315 ,Right ,52.31284977964 ,51.5366818320236 ,20.1106302712302
1.067499 ,Right ,52.3140267856665 ,51.5382550112683 ,20.1106480324434
1.0838944 ,Right ,52.3185898332704 ,51.534885531117 ,20.1099800505448
1.1063851 ,Right ,52.3221927199497 ,51.5300436697388 ,20.1071145774516
1.1275222 ,Right ,52.3295071525125 ,51.5271060754504 ,20.1063944893941
1.1440083 ,Right ,52.3295071525125 ,51.5271060754504 ,20.1063944893941
1.1664691 ,Right ,52.3295071525125 ,51.5271060754504 ,20.1063944893941
1.1875221 ,Right ,52.3289522611004 ,51.5298816533633 ,20.1060022402357
1.2040184 ,Right ,52.3289522611004 ,51.5298816533633 ,20.1060022402357
1.2264479 ,Right ,52.3289522611004 ,51.5298816533633 ,20.1060022402357
1.2474545 ,Right ,52.3365100835849 ,51.5363853064001 ,20.1091565733521
1.2639585 ,Right ,52.3416157642272 ,51.5399622345803 ,20.1091451811705
1.2863826 ,Right ,52.3511469062627 ,51.5426056660863 ,20.1121487085821
1.3075456 ,Right ,52.3511469062627 ,51.5426056660863 ,20.1121487085821
1.3239374 ,Right ,52.348395440741 ,51.5421753371201 ,20.1121968308342
1.3464451 ,Right ,52.3549167449548 ,51.5446696405687 ,20.1116431307802
1.3675573 ,Right ,52.3600240786358 ,51.5482463923202 ,20.1116314106691
1.383956 ,Right ,52.3600240786358 ,51.5482463923202 ,20.1116314106691
