soft_train_acc,hard_train_acc,soft_val_acc,hard_val_acc
0.37053618,0.32191548,0.6325928,0.56470835
0.6298512,0.5973878,0.7921315,0.747386
0.77082026,0.73245525,0.86776465,0.82311726
0.837941,0.8101889,0.89393693,0.8739145
0.87088096,0.85241807,0.9083832,0.88239264
0.8991278,0.88534933,0.9245736,0.90464586
0.9158813,0.9041482,0.93120253,0.9160925
0.9320585,0.9241487,0.9451594,0.9230271
0.9452269,0.93340915,0.94769055,0.9283309
0.95133126,0.944686,0.94702256,0.92810476
0.9553276,0.9495472,0.9501831,0.9312528
0.9585456,0.9599127,0.9497566,0.93409204
0.96638495,0.9629401,0.95334005,0.93959713
0.97018623,0.9661369,0.957539,0.94159424
0.97208595,0.97089523,0.9593809,0.93849885
0.9726536,0.9746086,0.9612738,0.9464427
0.9749519,0.97663486,0.96009773,0.94367635
0.9783759,0.9797252,0.9622623,0.9466539
0.9819616,0.97783816,0.96371037,0.94717157
0.98230386,0.98222125,0.96331155,0.9499407
0.9847916,0.9832895,0.9665295,0.954196
0.9856186,0.9842316,0.96649796,0.9465717
0.98550206,0.98619634,0.9658344,0.9501934
0.9870484,0.9869909,0.9665468,0.94956696
0.98657763,0.9878857,0.96898526,0.9499694
0.9863502,0.99099123,0.96761554,0.9526645
0.9875197,0.9919623,0.9636373,0.9509094
0.9887168,0.99045825,0.9669178,0.9556036
0.9900114,0.99122965,0.97258306,0.9537109
0.9919262,0.99248904,0.96897805,0.95306313
